City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saint-Philippe,-21.36,55.77,75.2,53,90,3.36,RE,1597900645
Lompoc,34.64,-120.46,64.4,77,90,5.44,US,1597900622
Lüderitz,-26.65,15.16,57.47,34,0,9.51,NA,1597900646
Surovatikha,55.77,43.9,61.0,81,0,4.47,RU,1597900646
Sakakah,29.97,40.21,77.0,20,0,4.7,SA,1597900647
Qaanaaq,77.48,-69.36,45.07,87,100,6.46,GL,1597900519
Klaksvík,62.23,-6.59,50.0,76,100,5.82,FO,1597900647
Giohar,2.78,45.5,79.3,71,55,13.06,SO,1597900647
Hazorasp,41.32,61.07,82.4,26,0,2.24,UZ,1597900648
Bethel,41.37,-73.41,60.8,87,1,4.9,US,1597900648
Ponta do Sol,32.67,-17.1,71.6,73,40,4.7,PT,1597900648
Vestmanna,62.16,-7.17,50.0,76,98,5.82,FO,1597900648
Vanimo,-2.67,141.3,85.91,63,4,9.15,PG,1597900649
Esperance,-33.87,121.9,60.8,77,75,12.75,AU,1597900649
Yangi Marg`ilon,40.43,71.72,80.6,42,0,4.7,UZ,1597900650
Nadadores,27.05,-101.6,86.0,43,12,8.99,MX,1597900651
Jamestown,42.1,-79.24,54.0,93,1,4.7,US,1597900651
Matara,5.95,80.54,85.73,67,100,12.46,LK,1597900651
Kiryat Gat,31.61,34.76,75.99,11,0,3.85,IL,1597900590
Iqaluit,63.75,-68.51,44.01,93,90,4.7,CA,1597900653
Kapaa,22.08,-159.32,80.6,74,40,14.99,US,1597900654
Half Moon Bay,37.46,-122.43,73.0,82,1,8.43,US,1597900655
Thompson,55.74,-97.86,64.4,72,75,3.36,CA,1597900655
Tuktoyaktuk,69.45,-133.04,50.0,81,75,11.41,CA,1597900655
Dakar,14.69,-17.44,82.4,83,40,2.24,SN,1597900460
Zhangjiakou,40.81,114.88,74.84,59,4,11.5,CN,1597900656
Bangsund,64.4,11.39,55.4,87,75,3.36,NO,1597900656
Kumul,42.8,93.45,88.16,19,100,13.78,CN,1597900657
Mahébourg,-20.41,57.7,75.2,64,40,11.41,MU,1597900657
Zistersdorf,48.53,16.75,62.01,93,6,3.06,AT,1597900657
Los Llanos de Aridane,28.66,-17.92,69.8,88,0,8.05,ES,1597900657
Cidreira,-30.18,-50.21,50.04,73,23,10.89,BR,1597900658
Bairiki Village,1.33,172.98,87.8,66,40,13.87,KI,1597900658
Roebourne,-20.78,117.13,80.37,21,0,9.22,AU,1597900658
Tasiilaq,65.61,-37.64,44.6,65,0,6.93,GL,1597900659
Port Elizabeth,-33.92,25.57,46.4,70,11,9.17,ZA,1597900659
Sistranda,63.73,8.83,55.4,100,75,4.7,NO,1597900659
Mount Isa,-20.73,139.5,80.6,11,1,12.75,AU,1597900374
Koumac,-20.57,164.28,75.88,62,0,11.9,NC,1597900660
Skjervøy,70.03,20.97,48.2,100,75,5.82,NO,1597900660
Cape Town,-33.93,18.42,54.0,76,75,9.17,ZA,1597900500
Bosaso,11.28,49.18,93.2,38,52,14.99,SO,1597900636
Hong Kong,22.29,114.16,91.0,59,78,15.01,HK,1597900524
Provideniya,64.38,-173.3,59.0,67,42,13.42,RU,1597900661
Mehamn,71.04,27.85,51.8,76,75,10.29,NO,1597900661
George Town,5.41,100.34,87.8,70,40,8.05,MY,1597900662
Kropotkin,45.44,40.58,78.73,34,0,6.24,RU,1597900662
Leningradskiy,69.38,178.42,54.12,60,98,7.49,RU,1597900663
Torbay,47.67,-52.73,62.01,93,75,14.99,CA,1597900663
Cap-aux-Meules,47.38,-61.86,68.34,71,81,20.15,CA,1597900663
Huanren,41.26,125.37,73.29,70,100,6.29,CN,1597900664
Mudgee,-32.59,149.59,52.0,81,75,16.11,AU,1597900664
Tuatapere,-46.13,167.68,48.99,93,98,7.0,NZ,1597900665
Sechura,-5.56,-80.82,61.27,81,100,12.46,PE,1597900665
Vaini,-21.2,-175.2,75.2,83,75,10.29,TO,1597900665
Grindavik,63.84,-22.43,48.2,100,75,4.7,IS,1597900665
Khatanga,71.97,102.5,61.18,45,19,10.56,RU,1597900666
Englewood,39.65,-104.99,73.0,47,52,1.01,US,1597900666
Hithadhoo,-0.6,73.08,83.79,66,85,3.76,MV,1597900666
Trifeşti,47.45,27.52,66.99,83,71,5.99,RO,1597900667
Tazovsky,67.47,78.7,60.42,80,92,10.04,RU,1597900501
Puerto Ayora,-0.74,-90.35,66.0,93,95,7.0,EC,1597900667
Stornoway,58.21,-6.39,60.8,93,100,17.22,GB,1597900667
Katsuura,35.13,140.3,97.0,56,20,16.11,JP,1597900668
Bundaberg,-24.85,152.35,77.0,16,21,16.11,AU,1597900668
Tynda,55.17,124.72,69.91,48,35,9.46,RU,1597900668
Kisangani,0.52,25.2,71.47,97,100,3.83,CD,1597900669
Evensk,61.95,159.23,52.75,89,100,9.62,RU,1597900669
Wadi Maliz,36.47,8.55,69.8,56,0,4.7,TN,1597900669
Rocha,-34.48,-54.33,39.38,75,7,10.11,UY,1597900467
East London,-33.02,27.91,42.8,70,0,3.36,ZA,1597900670
Itoman,26.12,127.67,93.2,59,20,11.41,JP,1597900670
Zanjān,36.67,48.48,66.2,63,0,4.7,IR,1597900670
Coquimbo,-29.95,-71.34,48.2,87,0,5.82,CL,1597900670
Avarua,-21.21,-159.78,73.4,83,86,25.28,CK,1597900671
Biak,-0.91,122.88,82.9,60,65,7.92,ID,1597900671
Port Lincoln,-34.73,135.87,56.75,58,37,23.4,AU,1597900671
Dikson,73.51,80.55,51.51,64,0,16.24,RU,1597900671
Mossamedes,-15.2,12.15,61.95,90,59,2.59,AO,1597900672
Buraidah,26.33,43.98,78.8,27,49,3.36,SA,1597900672
Chapais,49.78,-74.85,46.4,93,1,3.36,CA,1597900672
Tres Arroyos,-38.37,-60.28,33.35,93,0,8.05,AR,1597900672
Concordia,-31.39,-58.02,39.0,73,3,6.89,AR,1597900467
Borba,-4.39,-59.59,78.06,56,0,2.42,BR,1597900673
Maniitsoq,65.42,-52.9,47.25,69,0,7.31,GL,1597900673
Nurota,40.56,65.69,82.4,15,0,4.7,UZ,1597900673
Hasaki,35.73,140.83,97.0,59,20,11.41,JP,1597900674
Bolobo,-2.17,16.23,74.25,83,85,3.36,CD,1597900674
Puerto Escondido,15.85,-97.07,79.99,77,73,5.21,MX,1597900674
Sibiti,-3.68,13.35,69.26,90,99,3.02,CG,1597900675
Geraldton,-28.77,114.6,66.2,52,78,8.05,AU,1597900675
Galveston,29.37,-94.97,84.99,74,1,3.36,US,1597900675
Lavrentiya,65.58,-171.0,55.58,64,40,9.15,RU,1597900675
Ibrā’,22.69,58.53,97.25,32,36,2.1,OM,1597900676
Jacareacanga,-6.22,-57.75,74.82,54,0,0.98,BR,1597900522
Lorengau,-2.02,147.27,85.17,71,20,9.48,PG,1597900676
Jumla,29.27,82.18,63.66,70,100,2.06,NP,1597900677
Zunyi,27.69,106.91,78.76,73,52,4.99,CN,1597900677
San Andrés,12.58,-81.7,82.4,83,75,3.36,CO,1597900677
Castro,-24.79,-50.01,51.8,97,100,8.03,BR,1597900677
Rørvik,64.86,11.24,53.6,87,75,5.82,NO,1597900678
Upernavik,72.79,-56.15,46.9,75,18,2.62,GL,1597900678
Tessalit,20.2,1.01,83.68,49,53,7.11,ML,1597900678
Pevek,69.7,170.31,40.44,91,100,15.41,RU,1597900679
Kidal,18.44,1.41,84.79,46,7,6.22,ML,1597900679
Gigmoto,13.78,124.39,84.83,70,99,4.38,PH,1597900679
Henties Bay,-22.12,14.28,62.82,28,0,11.16,NA,1597900679
Teknāf,20.86,92.31,79.39,90,100,16.82,BD,1597900680
Bouloupari,-21.87,166.05,78.8,61,0,8.05,NC,1597900680
Kununurra,-15.77,128.73,95.0,12,27,8.05,AU,1597900680
Syracuse,37.09,15.28,71.6,88,0,6.93,IT,1597900680
Ancud,-41.87,-73.82,45.0,93,40,4.7,CL,1597900681
Nanortalik,60.14,-45.24,45.75,74,1,10.92,GL,1597900681
Meulaboh,4.14,96.13,86.23,66,98,6.73,ID,1597900484
Balud,10.15,123.7,84.2,79,75,10.29,PH,1597900681
Monrovia,6.3,-10.8,76.5,84,100,12.24,LR,1597900682
Vardø,70.37,31.11,51.8,87,75,10.29,NO,1597900441
Qaqortoq,60.72,-46.03,50.0,61,7,3.36,GL,1597900682
Tomatlán,19.93,-105.25,76.26,84,100,3.78,MX,1597900682
Kaitangata,-46.28,169.85,48.0,88,84,8.01,NZ,1597900683
Umluj,25.02,37.27,90.91,42,41,7.0,SA,1597900683
Saint Paul Harbor,57.79,-152.41,59.0,77,75,3.36,US,1597900683
Yertsevo,60.8,40.09,53.64,55,0,1.1,RU,1597900683
La Palma,33.85,-118.05,80.01,61,1,6.93,US,1597900684
Saint-Junien,45.88,0.9,70.0,64,0,5.82,FR,1597900684
Coffeyville,37.04,-95.62,66.2,82,1,6.87,US,1597900684
Huron,41.15,-82.55,54.0,89,0,3.78,US,1597900684
Saldanha,-33.01,17.94,42.8,81,68,6.02,ZA,1597900685
Diplo,24.47,69.58,89.94,67,83,13.56,PK,1597900685
Auki,-8.77,160.7,83.37,75,88,2.06,SB,1597900685
Ribeira do Pombal,-10.83,-38.54,63.88,96,30,3.38,BR,1597900685
Yellowknife,62.46,-114.35,57.2,93,75,13.87,CA,1597900685
Conde,-7.26,-34.91,69.8,100,20,4.7,BR,1597900686
Sisimiut,66.94,-53.67,47.43,77,0,4.68,GL,1597900686
Paita,-5.09,-81.11,60.51,84,97,12.71,PE,1597900687
Shevchenkove,49.7,37.17,69.8,60,31,2.24,UA,1597900687
Emerald,-23.53,148.17,78.01,13,11,12.75,AU,1597900688
Orán,-23.13,-64.33,49.32,47,80,3.53,AR,1597900688
Butaritari,3.07,172.79,83.14,77,98,12.15,KI,1597900688
Deputatsky,69.3,139.9,39.15,74,98,9.08,RU,1597900688
Buala,-8.14,159.59,84.7,70,69,2.21,SB,1597900689
Sativasur,6.09,-72.71,50.58,84,100,2.33,CO,1597900689
Kirakira,-10.45,161.92,84.09,71,92,6.13,SB,1597900689
Begoro,6.39,-0.38,68.29,95,77,4.97,GH,1597900689
Saint-Pierre,-21.34,55.48,75.2,53,90,3.36,RE,1597900690
Mar del Plata,-38.0,-57.56,39.0,86,20,9.17,AR,1597900666
Waipawa,-41.41,175.52,55.4,93,89,16.11,NZ,1597900690
San Cristobal,7.77,-72.22,66.22,91,88,1.57,VE,1597900691
Flin Flon,54.77,-101.86,61.9,91,61,4.34,CA,1597900691
Nelson Bay,-32.72,152.15,64.4,39,7,29.97,AU,1597900691
Berlevåg,70.86,29.09,51.8,76,75,10.29,NO,1597900691
Westport,41.14,-73.36,64.0,99,1,7.78,US,1597900599
Valparaíso,-33.04,-71.63,51.01,64,0,7.47,CL,1597900603
Council Bluffs,41.26,-95.86,69.01,77,1,6.93,US,1597900433
Port-Gentil,-0.72,8.78,74.3,85,100,15.52,GA,1597900692
Ben Gardane,33.14,11.22,76.44,77,0,4.97,TN,1597900692
Marawi,8.0,124.29,84.0,80,98,5.01,PH,1597900693
Gemeente Wageningen,51.97,5.67,69.01,93,75,6.93,NL,1597900693
Cabo San Lucas,22.89,-109.91,77.0,97,100,13.0,MX,1597900511
Kikwit,-5.04,18.82,75.94,79,93,2.55,CD,1597900694
Adrar,20.5,-10.07,90.81,39,6,12.48,MR,1597900694
Ambanja,-13.68,48.45,75.67,49,72,3.27,MG,1597900694
Tadine,-21.55,167.88,73.47,72,0,10.65,NC,1597900695
Boa Vista,2.82,-60.67,82.4,74,100,2.24,BR,1597900527
Innisfail,-17.53,146.03,91.99,12,0,5.44,AU,1597900695
Prince Rupert,54.32,-130.32,57.2,93,90,3.36,CA,1597900560
Karaton,-6.34,106.1,89.6,59,40,14.99,ID,1597900696
Haines Junction,60.75,-137.51,49.5,59,9,2.15,CA,1597900696
Damphu,27.07,90.11,80.65,64,11,4.97,BT,1597900696
Dharmadam,11.78,75.43,77.0,100,75,2.24,IN,1597900697
Christchurch,-43.53,172.63,53.6,81,79,6.93,NZ,1597900500
Ayr,55.46,-4.63,60.8,72,40,23.04,GB,1597900697
Harsīn,34.27,47.59,73.4,13,0,4.7,IR,1597900697
Mandalgovi,45.76,106.27,72.27,31,41,18.3,MN,1597900698
La Ronge,55.1,-105.28,57.2,100,40,6.51,CA,1597900698
Ferme-Neuve,46.7,-75.45,46.8,92,0,0.92,CA,1597900698
Namatanai,-3.67,152.43,82.67,73,43,6.89,PG,1597900699
Kruisfontein,-34.0,24.73,46.62,56,7,8.25,ZA,1597900699
Laas,46.62,10.7,61.0,87,40,1.12,IT,1597900699
Hambantota,6.12,81.12,87.8,74,20,12.75,LK,1597900700
Bagdarin,54.43,113.6,67.89,57,12,6.15,RU,1597900700
Asău,46.43,26.4,61.0,98,98,3.74,RO,1597900700
Collie,-33.37,116.15,57.99,74,85,4.0,AU,1597900404
Baykit,61.67,96.37,62.65,74,100,9.51,RU,1597900701
Nyurba,63.28,118.33,61.88,39,0,5.06,RU,1597900705
Severo-Kuril'sk,50.68,156.12,54.91,83,99,8.68,RU,1597900706
Steamboat Springs,40.48,-106.83,69.8,37,1,3.02,US,1597900706
Clyde River,70.47,-68.59,44.6,93,40,5.82,CA,1597900706
Leh,34.17,77.58,64.65,28,35,6.69,IN,1597900706
Ribeira Grande,38.52,-28.7,69.51,74,72,16.98,PT,1597900707
Kashary,49.04,41.01,74.37,48,2,7.05,RU,1597900707
Urdoma,61.75,48.54,50.18,78,88,9.33,RU,1597900707
Yatou,37.15,122.38,73.53,98,99,6.22,CN,1597900707
Scarborough,54.28,-0.4,61.0,82,80,1.99,GB,1597900708
Tuensang,26.28,94.83,83.55,63,15,1.25,IN,1597900708
Etchoropo,26.77,-109.67,86.0,78,85,1.01,MX,1597900708
Myszków,50.58,19.32,60.01,100,90,3.36,PL,1597900708
Riberalta,-10.98,-66.1,80.42,52,16,1.61,BO,1597900709
Mahon,39.89,4.27,73.4,94,0,5.82,ES,1597900709
Longyearbyen,78.22,15.64,42.8,75,75,17.22,SJ,1597900709
Constitución,-35.33,-72.42,43.97,69,0,7.4,CL,1597900710
Nome,64.5,-165.41,54.0,81,90,13.87,US,1597900710
Zhezkazgan,47.8,67.71,68.0,28,52,13.42,KZ,1597900711
Vila Franca do Campo,37.72,-25.43,66.2,72,20,5.82,PT,1597900711
Zyryanka,65.75,150.85,48.79,51,84,16.2,RU,1597900711
Belyy Yar,53.6,91.39,68.0,64,16,2.24,RU,1597900712
Salani,29.96,79.71,71.85,77,98,1.59,IN,1597900712
Krásná Lípa,50.48,13.36,57.0,93,87,4.7,CZ,1597900712
Brora,58.01,-3.85,62.6,93,100,16.11,GB,1597900713
Kavaratti,10.57,72.64,84.2,74,20,6.93,IN,1597900713
Naze,28.37,129.48,91.4,66,20,12.75,JP,1597900466
Port Blair,11.67,92.75,85.69,71,78,15.64,IN,1597900714
Karakol,42.49,78.39,67.69,38,0,5.53,KG,1597900715
Chihuahua,28.5,-106.0,77.0,33,0,1.99,MX,1597900626
Port Hardy,50.7,-127.42,59.0,93,90,20.8,CA,1597900716
Marzuq,14.4,46.47,80.56,51,17,7.43,YE,1597900716
Meiktila,20.87,95.87,79.88,77,100,13.22,MM,1597900717
Arlit,18.74,7.39,89.19,13,20,5.61,NE,1597900717
Lata,40.16,-8.33,70.0,91,93,1.01,PT,1597900718
Port Moresby,-9.44,147.18,79.07,74,45,9.98,PG,1597900718
Pontes e Lacerda,-15.23,-59.34,74.35,61,59,4.81,BR,1597900719
Brownsville,25.9,-97.5,80.01,83,1,5.82,US,1597900681
Ponta Delgada,37.73,-25.67,66.2,72,20,5.82,PT,1597900719
Guntakal,15.17,77.38,79.97,71,100,16.08,IN,1597900720
Port Augusta,-32.5,137.77,62.6,39,40,19.46,AU,1597900720
Chak Thirty-one -Eleven Left,30.43,72.7,102.85,37,2,11.14,PK,1597900721
Barcelona,41.39,2.16,75.99,88,20,5.82,ES,1597900525
Beloha,-25.17,45.05,66.79,83,98,7.02,MG,1597900721
Beira,-19.84,34.84,71.6,83,75,14.99,MZ,1597900609
Taywarah,33.35,64.42,66.65,18,0,8.7,AF,1597900722
Harwich,51.94,1.28,66.99,80,100,5.99,GB,1597900722
Constantine,36.37,6.61,73.4,43,16,2.24,DZ,1597900477
Itaú de Minas,-20.74,-46.75,67.03,58,0,4.27,BR,1597900476
Marabu,4.41,114.01,84.2,83,40,10.29,MY,1597900723
Aklavik,68.22,-135.01,57.2,76,40,4.7,CA,1597900723
Kieta,-6.22,155.63,82.22,74,9,4.36,PG,1597900724
Thunder Bay,48.4,-89.32,60.8,100,75,3.83,CA,1597900519
Columbia,34.0,-81.03,71.6,94,20,5.82,US,1597900724
Temba,-25.38,28.26,42.01,64,0,4.7,ZA,1597900724
Barguzin,53.62,109.62,74.53,48,100,0.65,RU,1597900725
Pisco,-13.7,-76.22,60.8,82,16,4.7,PE,1597900594
Hope,33.67,-93.59,72.0,72,1,5.59,US,1597900464
Novikovo,51.15,37.89,62.53,82,84,9.75,RU,1597900726
Jūybār,36.64,52.91,75.2,83,0,6.93,IR,1597900726
Sitges,41.24,1.81,75.0,85,0,2.51,ES,1597900727
Abhā,18.22,42.51,69.8,55,54,8.48,SA,1597900529
Svetlaya,46.54,138.33,70.66,48,46,7.7,RU,1597900727
Calabazar de Sagua,22.64,-79.9,78.8,88,20,1.12,CU,1597900728
Podor,16.65,-14.96,80.96,70,100,10.36,MR,1597900728
Beringovskiy,63.05,179.32,59.04,52,80,6.51,RU,1597900728
Souillac,-20.52,57.52,75.2,64,40,11.41,MU,1597900728
Ballina,-28.87,153.57,71.6,26,0,20.8,AU,1597900619
Greenwood,34.17,-82.12,70.0,94,75,3.36,US,1597900729
Touros,-5.2,-35.46,69.8,94,20,4.7,BR,1597900729
Dunedin,-45.87,170.5,51.01,83,80,4.38,NZ,1597900730
Oranjestad,12.52,-70.03,84.2,74,40,19.46,AW,1597900730
Tondano,1.3,124.91,89.6,59,20,4.7,ID,1597900730
Fountain,38.68,-104.7,69.8,88,75,4.7,US,1597900568
Tilichiki,60.47,166.1,51.48,81,100,18.41,RU,1597900731
Moree,-29.47,149.85,64.4,34,40,24.16,AU,1597900731
Snezhnogorsk,69.19,33.25,53.6,87,40,6.71,RU,1597900732
Port Hedland,-20.32,118.57,84.2,16,3,13.87,AU,1597900732
Necochea,-38.55,-58.74,37.0,93,65,1.99,AR,1597900732
Lincoln,40.8,-96.67,68.0,72,1,6.93,US,1597900571
Sorong,-0.88,131.25,82.63,76,73,7.99,ID,1597900733
Port Macquarie,-31.43,152.92,68.0,38,0,4.0,AU,1597900733
Dudinka,69.41,86.18,69.8,35,99,13.42,RU,1597900733
Litovko,49.24,135.17,72.45,57,0,9.22,RU,1597900734
Ranau,5.95,116.66,87.8,74,20,5.82,MY,1597900734
Ostrovnoy,68.05,39.51,54.5,63,80,13.67,RU,1597900734
Vao,-22.67,167.48,71.46,78,0,14.52,NC,1597900735
Ous,60.91,61.52,53.56,96,100,5.88,RU,1597900735
Burnie,-41.07,145.92,51.01,63,60,15.01,AU,1597900735
Ōdachō-ōda,35.18,132.5,93.2,52,40,12.75,JP,1597900735
Miyako,39.64,141.95,85.98,54,0,2.01,JP,1597900736
Kralendijk,12.15,-68.27,82.4,83,27,17.22,BQ,1597900634
Koslan,63.46,48.9,51.39,88,100,10.16,RU,1597900736
Arrondissement de Saumur,47.33,-0.25,69.01,88,53,3.36,FR,1597900737
Ust-Tsilma,65.44,52.15,56.53,87,100,7.74,RU,1597900737
Esim,4.87,-2.24,74.71,88,64,8.77,GH,1597900737
Saint George,37.1,-113.58,98.6,13,1,3.4,US,1597900737
Pringsewu,-5.36,104.97,84.33,71,77,5.99,ID,1597900738
Faanui,-16.48,-151.75,77.79,79,27,19.8,PF,1597900739
Mount Gambier,-37.83,140.77,55.4,66,75,23.04,AU,1597900739
Sørland,67.67,12.69,42.8,93,75,2.24,NO,1597900739
Huarmey,-10.07,-78.15,60.03,85,62,8.16,PE,1597900740
Pimentel,-6.84,-79.93,60.12,89,93,13.11,PE,1597900740
Madiun,-7.63,111.52,92.21,41,77,3.58,ID,1597900740
Margherita,27.28,95.68,93.2,56,40,5.82,IN,1597900740
Cayenne,4.93,-52.33,75.2,100,75,10.42,GF,1597900741
Buchanan,5.88,-10.05,75.33,88,100,9.78,LR,1597900741
Bredasdorp,-34.53,20.04,51.8,81,81,5.82,ZA,1597900742
Camacha,33.08,-16.33,71.6,88,40,4.7,PT,1597900742
kimparana,12.83,-4.92,73.51,90,81,7.43,ML,1597900742
Pedasí,7.53,-80.03,77.95,86,100,3.87,PA,1597900743
Acaraú,-2.89,-40.12,74.59,87,61,11.3,BR,1597900743
Mazagão,-0.12,-51.29,82.4,88,20,6.93,BR,1597900743
Talcahuano,-36.72,-73.12,42.8,75,0,8.05,CL,1597900743
Coahuayana Viejo,18.73,-103.68,76.8,85,100,2.95,MX,1597900743
Tahe,52.33,124.73,73.74,35,13,8.05,CN,1597900744
Bubaque,11.28,-15.83,81.03,81,90,5.99,GW,1597900685
Alofi,-19.06,-169.92,80.6,83,3,9.17,NU,1597900744
Sambava,-14.27,50.17,70.56,84,93,9.28,MG,1597900745
Yulara,-25.24,130.99,69.8,22,0,5.82,AU,1597900745
Richards Bay,-28.78,32.04,55.99,68,27,4.03,ZA,1597900587
Palana,59.12,159.97,51.04,97,100,6.31,RU,1597900747
San Rafael,-34.62,-68.33,36.72,67,0,7.34,AR,1597900747
Antofagasta,-23.65,-70.4,55.4,71,75,4.7,CL,1597900747
Forsytheganj,52.63,29.73,60.6,90,98,9.31,BY,1597900748
San Miguel de Tucumán,-26.82,-65.22,46.4,39,88,5.82,AR,1597900512
Grand Gaube,-20.01,57.66,75.0,61,13,8.01,MU,1597900483
Ramnagar,29.4,79.12,86.0,74,75,6.93,IN,1597900748
Portland,45.52,-122.68,73.99,60,1,6.93,US,1597900619
Fort-Shevchenko,44.51,50.26,78.73,42,0,11.79,KZ,1597900749
Makarov,48.63,142.8,67.32,46,2,10.89,RU,1597900749
Khandyga,62.67,135.6,63.52,39,100,10.89,RU,1597900750
San Patricio,19.22,-104.7,78.28,84,100,4.54,MX,1597900750
Arica,-18.48,-70.3,57.42,79,82,0.96,CL,1597900750
Anadyr,64.75,177.48,60.8,51,80,17.9,RU,1597900751
Trat,12.5,102.5,86.0,70,75,1.12,TH,1597900751
Adré,13.47,22.2,71.74,89,100,3.6,TD,1597900751
Øksfjord,70.24,22.35,51.8,76,90,4.7,NO,1597900752
Cam Ranh,11.92,109.16,87.8,66,40,3.36,VN,1597900752
Hofn,64.25,-15.21,46.31,69,76,13.38,IS,1597900753
Oodweyne,9.41,45.06,73.36,62,37,20.38,SO,1597900753
Rosetta,31.4,30.42,78.8,69,0,6.93,EG,1597900754
Nālūt,30.33,10.85,81.77,30,0,10.92,LY,1597900754
Husavik,66.04,-17.34,32.0,72,20,2.24,IS,1597900754
Yerbogachën,61.28,108.01,73.74,33,50,10.38,RU,1597900755
Bud,39.45,-86.18,62.01,96,0,5.48,US,1597900755
Airai,-8.93,125.41,78.96,32,0,3.85,TL,1597900755
Villa Carlos Paz,-31.42,-64.5,37.99,58,0,8.05,AR,1597900756
Olafsvik,64.89,-23.71,47.73,74,8,8.12,IS,1597900756
Nemuro,43.32,145.57,73.4,83,75,3.36,JP,1597900756
